Date,Asset,Trip_Cycle,Income_Type,Income,Reserved_Amount,Notes
29/7/2023,trk0001,July,Adhoc,672,0,
9/8/2023,trk0001,July,Main,4500,0,
18/8/2023,trk0001,August,Main,4500,0,
23/8/2023,trk0001,August,Adhoc,779,0,
30/9/2023,trk0001,September,Main,4500,0,
30/9/2023,trk0001,September,Adhoc,295,0,
27/10/2023,trk0001,October,Main,4500,0,
8/11/2023,trk0001,October,Adhoc,306,0,
30/11/2023,trk0001,November,Main,4500,0,
30/11/2023,trk0001,November,Adhoc,200,0,
28/12/2023,trk0001,December,Main,4500,0,
28/12/2023,trk0001,December,Adhoc,200,0,
31/1/2024,trk0001,January,Main,4500,0,
31/1/2024,trk0001,January,Adhoc,0,0,
28/2/2024,trk0001,February,Main,4500,0,
28/2/2024,trk0001,February,Adhoc,0,0,
31/3/2024,trk0001,March,Main,3400,0,
31/3/2024,trk0001,March,Adhoc,0,0,
30/4/2024,trk0001,April,Main,4500,0,
30/4/2024,trk0001,April,Adhoc,300,0,
